7147,4405,125,7,5717,0.07787
2123,1414,50,7,1698,0.0685
9778,5039,144,7,7822,0.24906
4726,1076,246,8,3780,0.73121
2010,991,217,7,1608,0.2587
6477,1649,103,9,5181,0.76381
6367,5345,97,9,5093,0
4426,1825,90,8,3540,0.48295
4049,564,155,6,3239,0.86289
5218,5020,202,8,4174,0
5004,4094,236,9,4003,0
4432,2513,190,7,3545,0.13303
2879,639,52,9,2303,0.87535
9604,7372,226,9,7683,0
1179,835,221,9,943,0.00061
9968,7730,63,8,7974,0.00035
2805,339,79,8,2244,0.95275
6628,664,96,9,5302,0.96942
7774,6397,189,6,6219,0
621,610,198,8,496,0
3466,2931,75,9,2772,0
9243,1804,161,7,7394,0.79178
3699,368,142,8,2959,0.94624
6981,4114,101,9,5584,0.14456
1013,483,86,8,810,0.36447
2344,384,243,7,1875,0.82197
2329,407,124,9,1863,0.88958
899,858,201,6,719,0
5234,3731,94,6,4187,0.00545
7180,5323,125,6,5744,0.00023
2877,426,86,9,2301,0.94124
7593,4070,144,9,6074,0.23428
5653,1213,76,9,4522,0.8559
8134,2903,177,8,6507,0.5335
4424,371,151,6,3539,0.92664
4298,3192,235,6,3438,0
2822,2068,137,6,2257,0.00035
5694,4006,106,7,4555,0.00667
2953,372,127,9,2362,0.9416
8701,7797,165,7,6960,0
5334,1518,238,7,4267,0.6215
3088,1068,163,6,2470,0.50789
5701,3254,129,9,4560,0.1592
5175,4421,117,8,4140,0
6865,2049,154,6,5492,0.5796
8273,6722,226,7,6618,0
9419,3234,91,6,7535,0.56726
7602,4122,239,9,6081,0.18521
9036,3265,56,7,7228,0.56414
6375,2873,123,6,5100,0.36309
6802,1183,189,8,5441,0.83424
902,427,113,8,721,0.3482
8103,4439,87,6,6482,0.21144
4721,832,205,9,3776,0.85582
4472,1773,90,7,3577,0.50464
8628,2297,237,9,6902,0.6786
5782,4166,88,8,4625,0.00445
5400,1368,59,6,4320,0.75662
9545,1163,87,9,7636,0.95671
2765,778,73,6,2212,0.67917
1857,819,125,8,1485,0.39675
1345,343,148,6,1076,0.67737
2836,796,241,8,2268,0.6418
3355,868,173,7,2684,0.68145
440,419,160,6,352,0
