9331,5456,87,10,0
4463,3368,58,7,0
6419,2877,52,9,0
5193,1578,55,10,0
3366,1000,62,10,0
5866,5733,85,7,0
4820,3170,75,8,0
3152,2843,57,8,0
2608,501,87,10,0
9933,4363,62,7,0
7532,4043,79,9,0
9523,8635,86,8,0
7053,6193,71,6,0
4115,3799,93,9,0
5090,3856,99,7,0
4173,2253,71,8,0
8461,2982,100,8,0
6174,4993,79,6,0
7225,2208,67,6,0
6483,5518,77,9,0
8499,2242,79,9,0
3595,685,74,10,0
8786,1639,58,9,0
5740,1977,97,9,0
5531,919,77,7,0
3422,888,100,10,0
8899,4419,99,9,0
8156,6195,83,7,0
7783,7683,91,6,0
3756,2190,52,8,0
5242,2010,76,6,0
8036,3912,70,7,0
4879,245,67,10,0.26
4777,4312,88,10,0
8292,8194,66,6,0
7256,1574,59,8,0
3584,308,100,6,0
3924,718,94,6,0
3758,1809,56,7,0
9861,2647,77,9,0
8363,2186,78,6,0
5576,3942,83,6,0
4042,467,69,6,0
6842,3975,78,7,0
4682,1917,98,10,0
7538,2813,61,9,0
6177,3436,81,9,0
9832,1255,96,9,0
8679,4191,93,7,0
8677,968,74,7,0
4159,3574,78,8,0
6134,606,62,9,0.01
5745,1968,76,10,0
9372,9216,60,9,0
3804,1415,52,10,0
8971,6530,100,6,0
4452,599,62,7,0
4517,2143,83,7,0
9145,7749,64,9,0
6083,736,78,7,0
6165,6148,71,10,0
3312,2436,64,8,0
8486,3724,76,10,0
6061,3474,80,8,0
3717,2768,51,9,0
8332,8106,67,6,0
4958,367,60,10,0.08
6768,5366,69,10,0
7452,3264,54,7,0
2851,2542,84,6,0
7391,901,56,9,0
5790,1967,76,6,0
7647,2552,86,10,0
4239,4023,90,6,0
5075,4096,70,9,0
6882,1172,72,8,0
5071,3635,57,6,0
7057,2925,53,9,0
4152,2489,91,7,0
5465,4713,51,7,0
4349,2630,53,10,0
2989,2033,72,8,0
6909,5631,57,10,0
5176,783,98,7,0
6805,1944,96,10,0
9992,6001,61,10,0
5314,1378,69,8,0
7795,6775,61,7,0
8378,196,82,6,0.59
3097,2745,98,9,0
7652,6060,85,8,0
3244,1921,70,6,0
5052,1491,90,9,0
6515,1077,78,10,0
9090,5069,77,7,0
7742,5285,86,7,0
2833,443,95,8,0
4462,2921,90,6,0
5126,1954,99,7,0
7543,6227,81,10,0
9050,6043,98,9,0
7593,1673,86,10,0
5150,530,74,8,0
5243,830,77,6,0
6987,35,75,9,0.99
3917,2672,100,7,0
9620,6292,93,9,0
5978,3583,93,8,0
8339,2243,61,7,0
5233,514,66,7,0
8943,3513,70,7,0
2762,1096,82,10,0
4860,2001,74,6,0
5224,2991,72,7,0
3869,579,52,6,0
9306,6880,80,8,0
4579,153,68,7,0.5
3554,3519,86,8,0
8061,6139,79,8,0
5821,1147,64,7,0
8862,4503,51,9,0
3558,95,56,10,0.9
5923,315,72,7,0.12
7066,426,72,9,0.09
7893,4674,100,7,0
9274,6358,74,8,0
8016,1576,57,9,0
7465,7307,83,8,0
6701,980,68,6,0
3324,1664,56,9,0
8379,93,67,6,0.97
5071,2878,62,9,0
4428,1534,84,10,0
7564,3213,74,9,0
9303,7214,75,7,0
6858,2268,51,6,0
9914,2139,52,6,0
6974,5414,81,7,0
8832,3661,77,10,0
9443,2565,61,10,0
9028,4863,76,7,0
8653,7152,88,8,0
9478,7688,54,10,0
7943,1506,55,10,0
9929,4001,69,8,0
3524,2004,72,8,0
9371,6354,75,6,0
9196,4350,59,8,0
4318,2802,52,9,0
7962,5941,63,8,0
7444,7025,93,8,0
7928,7894,61,8,0
5378,1169,95,10,0
3155,2357,69,9,0
4849,2310,88,6,0
8122,1308,56,10,0
9521,3658,86,10,0
3948,2941,60,8,0
6437,3697,100,9,0
7812,4479,60,10,0
9289,2379,71,8,0
5579,4087,61,8,0
8866,1867,95,8,0
3044,463,91,6,0
4468,3206,72,10,0
5144,4084,74,8,0
6379,2640,85,7,0
6354,3152,88,6,0
7661,4040,82,9,0
6885,3136,59,8,0
7613,3284,77,7,0
2573,1749,56,6,0
2717,1435,58,9,0
3571,1052,57,7,0
2807,1715,74,9,0
9730,8793,65,9,0
6350,3500,76,9,0
6770,552,76,8,0.01
5213,1265,98,9,0
5857,5110,100,9,0
3985,3546,79,8,0
3575,2916,94,10,0
8294,975,91,10,0
4527,1917,63,9,0
6212,2814,82,9,0
5746,2394,59,10,0
6954,4387,75,8,0
9510,6784,94,10,0
6046,2700,100,7,0
5931,5469,91,7,0
2559,1864,76,8,0
6332,6262,64,10,0
2787,2070,91,8,0
5253,172,53,10,0.83
4066,1290,84,6,0
5645,1967,82,7,0
8361,2723,100,9,0
7326,2223,55,8,0
4929,584,94,6,0
