4243,925,77,8,0
3621,2013,66,7,0
4503,2726,70,6,0
5330,1328,83,7,0
8180,6667,52,6,0
3128,2804,70,9,0
5553,5394,70,10,0
5812,238,57,8,0
5231,5199,90,10,0
6269,3543,54,7,0
3077,2946,97,10,0
5100,262,77,7,0
4579,4142,81,8,0
2801,1207,79,9,0
5683,220,53,10,0
4749,1513,75,9,0
8289,1459,76,8,0
6568,5493,92,6,0
5911,1380,53,10,0
6356,3101,92,7,0
6788,2661,65,8,0
5315,4234,84,6,0
9474,8136,73,6,0
7754,1848,72,9,0
9643,1115,91,6,0
3611,2584,67,10,0
3109,1744,60,7,0
8159,3869,59,9,0
9815,2705,99,7,0
4855,2188,61,10,0
7457,5476,75,9,0
5812,4886,68,8,0
4457,1172,97,6,0
8530,4656,77,10,0
8287,596,54,10,0
4610,1162,70,7,0
5953,2246,73,7,0
4348,2911,53,6,0
5865,466,85,8,0
9775,6750,96,9,0
3044,1792,83,10,0
8264,6613,51,8,0
7325,7149,57,6,0
7136,6345,68,7,0
3913,1197,69,7,0
6350,2788,56,6,0
8934,3565,84,7,0
9044,7098,79,7,0
5373,4260,51,8,0
6440,6081,75,6,0
8917,5277,59,7,0
4843,751,60,6,0
7091,3832,81,8,0
9710,4129,82,8,0
3486,1305,73,8,0
3410,1231,67,7,0
4060,789,75,10,0
7112,6077,87,10,0
5917,4737,53,7,0
7996,3977,59,8,0
2897,1880,68,9,0
7083,5274,87,7,0
5082,1314,97,9,0
4610,3005,81,9,0
5334,4285,78,6,0
3763,3041,93,7,0
9001,2170,62,7,0
2730,330,65,8,0
7474,2173,89,10,0
9250,6515,81,10,0
4233,1244,67,6,0
7851,3532,66,6,0
9561,8869,95,10,0
9864,6453,93,7,0
3093,244,97,9,0
7114,2914,53,10,0
7266,2888,62,9,0
7143,4348,75,7,0
7942,6880,82,7,0
9027,6090,86,7,0
7520,7510,71,8,0
9029,4662,51,6,0
8744,1924,59,6,0
9938,227,83,9,0
9350,6859,99,8,0
3257,1799,80,6,0
4287,511,96,6,0
3703,147,70,7,0
6519,1347,62,10,0
7521,3121,67,7,0
4097,742,90,8,0
7791,4218,87,8,0
3911,569,94,9,0
8432,2904,69,6,0
7162,3485,92,9,0
4800,4132,63,10,0
2815,2389,52,9,0
8472,2204,82,8,0
7858,4252,97,8,0
3268,624,72,10,0
5598,2227,95,8,0
8906,2063,69,10,0
9323,3754,66,7,0
5597,640,90,10,0
3226,868,85,7,0
3808,2212,51,9,0
7972,1443,90,9,0
8025,5082,61,7,0
7553,6143,53,9,0
2671,1400,54,6,0
3493,1570,82,6,0
4134,89,94,10,0
8782,2090,60,9,0
6602,5712,85,7,0
3672,137,55,6,0
3961,2829,97,10,0
5466,3458,56,9,0
4009,1020,79,8,0
6395,4756,72,10,0
6177,3352,81,9,0
3796,236,70,7,0
3689,2820,61,7,0
9669,7231,75,9,0
7912,3893,76,10,0
9092,6556,97,8,0
4089,3014,51,6,0
4695,1983,75,6,0
5546,367,78,10,0
8576,5544,68,10,0
3375,2220,51,8,0
6340,3549,92,8,0
5725,772,64,7,0
7835,1152,68,9,0
2826,2367,80,6,0
8265,7860,64,10,0
5352,4558,56,10,0
5158,2387,78,10,0
9202,6707,92,10,0
3539,3460,82,9,0
5275,5042,67,9,0
5810,2726,89,6,0
4944,1322,60,7,0
3125,2792,63,9,0
5161,719,69,10,0
4592,1439,55,6,0
6839,4714,98,8,0
8577,3078,87,7,0
7175,1190,93,6,0
3145,2910,75,10,0
6973,190,62,6,0
8466,2849,76,8,0
7150,4055,58,9,0
6190,838,100,6,0
8748,4959,55,7,0
9888,2099,55,9,0
6383,4447,89,10,0
4739,591,100,9,0
3204,2931,55,10,0
5469,4215,80,10,0
5378,3115,97,7,0
6630,3814,81,9,0
6209,5352,70,8,0
9033,5749,92,7,0
6641,2269,99,6,0
8575,7490,83,9,0
4230,1312,82,9,0
9641,9167,85,9,0
9396,7285,71,9,0
9188,6892,84,9,0
6482,3768,80,6,0
7339,1910,61,7,0
4787,106,89,7,0
3528,119,77,8,0
6355,5702,65,9,0
8183,767,57,10,0
8651,2747,76,9,0
2841,775,78,9,0
8470,1780,76,6,0
5383,498,84,6,0
5755,420,90,8,0
5921,422,74,6,0
5566,632,52,6,0
6298,2805,76,7,0
2937,1365,99,9,0
4120,2292,64,9,0
6966,2092,65,8,0
4245,2400,79,7,0
6629,1499,86,9,0
7695,74,86,7,0.75
3204,616,55,7,0
5133,1007,63,10,0
7516,5842,92,9,0
9019,5439,60,10,0
9721,6,60,8,1
5860,2721,83,8,0
6983,1487,99,6,0
3431,2843,92,8,0
3250,815,97,6,0
8361,1489,54,9,0
6411,4751,71,9,0
4951,958,65,8,0
7741,3220,63,6,0
9449,3571,68,8,0
7639,1019,64,8,0
9472,8392,58,10,0
9371,1205,87,10,0
3444,1287,76,7,0
7947,3782,53,9,0
4936,2946,65,7,0
3557,148,86,10,0
7249,3937,98,8,0
3871,1278,98,9,0
3804,1425,57,8,0
3850,3233,75,10,0
6935,683,94,7,0
7666,3704,55,6,0
6349,1469,68,9,0
6701,5951,74,7,0
5084,2519,68,6,0
6032,5468,81,10,0
7292,2834,96,10,0
5621,3868,51,8,0
3210,476,95,7,0
8969,7858,95,8,0
7241,3414,81,10,0
5352,3491,78,8,0
3370,1818,85,8,0
7246,5492,83,8,0
2897,2586,67,9,0
6021,2471,88,7,0
8692,4008,82,6,0
8086,3019,69,6,0
2591,1749,55,9,0
9595,2310,52,7,0
6631,803,89,8,0
7073,304,59,9,0
8260,7243,67,9,0
3985,2087,68,9,0
2767,197,68,8,0
2858,1011,65,10,0
8749,3349,94,9,0
5946,5013,68,10,0
8743,1654,91,8,0
3417,1906,63,10,0
2894,2501,51,9,0
5553,5443,90,8,0
2876,669,76,9,0
7589,1648,72,6,0
6073,641,64,9,0
9301,6298,81,9,0
8556,2777,63,9,0
